  preface 1: div: head	MS::28:37:54: 8, 8, 0	28::MS:37:54: 8, 5, 8	37::MS:28:54: 8, 5, 8	54::MS:28:37: 0, 8, 8
act 1 scene 1: div: stage	MS::28:37:54: 4, 4, 4	28::MS:37:54: 4, 0, 0	37::MS:28:54: 4, 0, 0	54::MS:28:37: 4, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 11, 11, 11	28::MS:37:54: 11, 0, 0	37::MS:28:54: 11, 0, 0	54::MS:28:37: 11, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 28, 28, 28	28::MS:37:54: 28, 0, 0	37::MS:28:54: 28, 0, 0	54::MS:28:37: 28, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 13, 13, 13	28::MS:37:54: 13, 0, 0	37::MS:28:54: 13, 0, 0	54::MS:28:37: 13, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 5, 5, 0	28::MS:37:54: 5, 0, 5	37::MS:28:54: 5, 0, 5	54::MS:28:37: 0, 5, 5
act 1 scene 1: div: stage	MS::28:37:54: 5, 5, 0	28::MS:37:54: 5, 0, 5	37::MS:28:54: 5, 0, 5	54::MS:28:37: 0, 5, 5
act 1 scene 1: sp: stage	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 1 scene 1: sp: stage	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 1 scene 1: sp: stage	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 1 scene 1: sp: l 19	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 20	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 1 scene 1: sp: l 23	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 24	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 31	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 32	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 35	MS::28:37:54: 4, 4, 3	28::MS:37:54: 4, 0, 2	37::MS:28:54: 4, 0, 2	54::MS:28:37: 3, 2, 2
act 1 scene 1: sp: l 36	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 27, 27, 23	28::MS:37:54: 27, 0, 4	37::MS:28:54: 27, 0, 4	54::MS:28:37: 23, 4, 4
act 1 scene 1: div: stage	MS::28:37:54: 45, 45, 45	28::MS:37:54: 45, 0, 0	37::MS:28:54: 45, 0, 0	54::MS:28:37: 45, 0, 0
act 1 scene 1: sp: l 45	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 46	MS::28:37:54: 3, 3, 3	28::MS:37:54: 3, 0, 0	37::MS:28:54: 3, 0, 0	54::MS:28:37: 3, 0, 0
act 1 scene 1: sp: l 48	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 50	MS::28:37:54: 0, 0, 1	28::MS:37:54: 0, 0, 1	37::MS:28:54: 0, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 51	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 52	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 52	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 53	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: div: stage	MS::28:37:54: 30, 30, 24	28::MS:37:54: 30, 0, 6	37::MS:28:54: 30, 0, 6	54::MS:28:37: 24, 6, 6
act 1 scene 1: sp: l 56	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 61	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: l 62	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 63	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 1, 2, 2
act 1 scene 1: sp: l 65	MS::28:37:54: 3, 3, 3	28::MS:37:54: 3, 0, 2	37::MS:28:54: 3, 0, 2	54::MS:28:37: 3, 2, 2
act 1 scene 1: sp: l 66	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: div: stage	MS::28:37:54: 36, 36, 31	28::MS:37:54: 36, 0, 5	37::MS:28:54: 36, 0, 5	54::MS:28:37: 31, 5, 5
act 1 scene 1: sp: l 72	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 73	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 77	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 78	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 80	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 82	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 83	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: l 85	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: l 90	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 90	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 92	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 94	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: l 97	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 1 scene 1: sp: l 97	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 98	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 99	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 101	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 102	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 2	37::MS:28:54: 1, 0, 2	54::MS:28:37: 1, 2, 2
act 1 scene 1: sp: l 102	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 103	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 103	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 104	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 105	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 1, 2, 2
act 1 scene 1: sp: l 105	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 106	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 3	37::MS:28:54: 2, 0, 3	54::MS:28:37: 2, 3, 3
act 1 scene 1: sp: l 106	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 107	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 109	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 1: sp: l 113	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: l: stage	MS::28:37:54: 20, 20, 16	28::MS:37:54: 20, 0, 4	37::MS:28:54: 20, 0, 4	54::MS:28:37: 16, 4, 4
act 1 scene 1: sp: l 114	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: l 115	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 116	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 117	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 117	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 118	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 121	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 123	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 123	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 124	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: l: stage	MS::28:37:54: 18, 18, 14	28::MS:37:54: 18, 0, 4	37::MS:28:54: 18, 0, 4	54::MS:28:37: 14, 4, 4
act 1 scene 1: l: stage	MS::28:37:54: 15, 15, 15	28::MS:37:54: 15, 0, 0	37::MS:28:54: 15, 0, 0	54::MS:28:37: 15, 0, 0
act 1 scene 1: sp: l 124	MS::28:37:54: 10, 10, 10	28::MS:37:54: 10, 0, 0	37::MS:28:54: 10, 0, 0	54::MS:28:37: 10, 0, 0
act 1 scene 1: sp: l 125	MS::28:37:54: 10, 10, 10	28::MS:37:54: 10, 0, 0	37::MS:28:54: 10, 0, 0	54::MS:28:37: 10, 0, 0
act 1 scene 1: sp: l 126	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 20, 20, 16	28::MS:37:54: 20, 0, 4	37::MS:28:54: 20, 0, 4	54::MS:28:37: 16, 4, 4
act 1 scene 1: sp: l 129	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 130	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 131	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 23, 23, 23	28::MS:37:54: 23, 0, 0	37::MS:28:54: 23, 0, 0	54::MS:28:37: 23, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 96, 96, 77	28::MS:37:54: 96, 0, 23	37::MS:28:54: 96, 0, 23	54::MS:28:37: 77, 23, 23
act 1 scene 1: sp: l 132	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: l: stage	MS::28:37:54: 5, 5, 5	28::MS:37:54: 5, 0, 0	37::MS:28:54: 5, 0, 0	54::MS:28:37: 5, 0, 0
act 1 scene 1: l: stage	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 132	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 133	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 136	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: l 137	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 137	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 137	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 137	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: l 139	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: stage	MS::28:37:54: 10, 10, 10	28::MS:37:54: 10, 0, 0	37::MS:28:54: 10, 0, 0	54::MS:28:37: 10, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 129, 129, 115	28::MS:37:54: 129, 0, 23	37::MS:28:54: 129, 0, 23	54::MS:28:37: 115, 23, 23
act 1 scene 1: sp: l 141	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 142	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 142	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 143	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 85, 85, 86	28::MS:37:54: 85, 0, 4	37::MS:28:54: 85, 0, 4	54::MS:28:37: 86, 4, 4
act 1 scene 1: sp: l 147	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 150	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 1 scene 1: sp: l 154	MS::28:37:54: 13, 13, 13	28::MS:37:54: 13, 0, 0	37::MS:28:54: 13, 0, 0	54::MS:28:37: 13, 0, 0
act 1 scene 1: sp: l 156	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 160	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 1: sp: l 162	MS::28:37:54: 8, 8, 0	28::MS:37:54: 8, 0, 8	37::MS:28:54: 8, 0, 8	54::MS:28:37: 0, 8, 8
act 1 scene 1: sp: l 163	MS::28:37:54: 37, 37, 0	28::MS:37:54: 37, 0, 37	37::MS:28:54: 37, 0, 37	54::MS:28:37: 0, 37, 37
act 1 scene 1: sp: l 173	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 1 scene 1: sp: stage	MS::28:37:54: 14, 14, 0	28::MS:37:54: 14, 0, 14	37::MS:28:54: 14, 0, 14	54::MS:28:37: 0, 14, 14
act 1 scene 1: sp: stage	MS::28:37:54: 14, 14, 0	28::MS:37:54: 14, 0, 14	37::MS:28:54: 14, 0, 14	54::MS:28:37: 0, 14, 14
act 1 scene 1: sp: l 177	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 58, 58, 54	28::MS:37:54: 58, 0, 4	37::MS:28:54: 58, 0, 4	54::MS:28:37: 54, 4, 4
act 1 scene 2: div: stage	MS::28:37:54: 61, 61, 54	28::MS:37:54: 61, 0, 8	37::MS:28:54: 61, 0, 8	54::MS:28:37: 54, 8, 8
act 1 scene 2: div: stage	MS::28:37:54: 7, 7, 0	28::MS:37:54: 7, 0, 7	37::MS:28:54: 7, 0, 7	54::MS:28:37: 0, 7, 7
act 1 scene 2: div: stage	MS::28:37:54: 3, 3, 3	28::MS:37:54: 3, 0, 0	37::MS:28:54: 3, 0, 0	54::MS:28:37: 3, 0, 0
act 1 scene 2: div: stage	MS::28:37:54: 20, 20, 20	28::MS:37:54: 20, 0, 0	37::MS:28:54: 20, 0, 0	54::MS:28:37: 20, 0, 0
act 1 scene 2: sp: l 179	MS::28:37:54: 4, 4, 4	28::MS:37:54: 4, 0, 0	37::MS:28:54: 4, 0, 0	54::MS:28:37: 4, 0, 0
act 1 scene 2: sp: l 179	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 1, 1, 1
act 1 scene 2: sp: l 185	MS::28:37:54: 4, 4, 2	28::MS:37:54: 4, 0, 3	37::MS:28:54: 4, 0, 3	54::MS:28:37: 2, 3, 3
act 1 scene 2: sp: l 186	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: l 187	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 1 scene 2: sp: l 188	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: stage	MS::28:37:54: 5, 5, 0	28::MS:37:54: 5, 0, 5	37::MS:28:54: 5, 0, 5	54::MS:28:37: 0, 5, 5
act 1 scene 2: sp: l 193	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: l 194	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: l 196	MS::28:37:54: 3, 3, 3	28::MS:37:54: 3, 0, 0	37::MS:28:54: 3, 0, 0	54::MS:28:37: 3, 0, 0
act 1 scene 2: sp: stage	MS::28:37:54: 5, 5, 0	28::MS:37:54: 5, 0, 5	37::MS:28:54: 5, 0, 5	54::MS:28:37: 0, 5, 5
act 1 scene 2: sp: l 197	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: l 197	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: l 197	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: l 198	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 1 scene 2: sp: l 200	MS::28:37:54: 4, 4, 4	28::MS:37:54: 4, 0, 0	37::MS:28:54: 4, 0, 0	54::MS:28:37: 4, 0, 0
act 1 scene 2: sp: l 201	MS::28:37:54: 3, 3, 1	28::MS:37:54: 3, 0, 2	37::MS:28:54: 3, 0, 2	54::MS:28:37: 1, 2, 2
