Location	msR	R1828	R1837	R1854	
act 1 scene 1: sp: l 56		,	,	,	
act 1 scene 1: sp: l 61	,	—	—	,	
act 1 scene 1: sp: l 62	—	,	,		
act 1 scene 1: sp: l 63	—	, —	, —	,	
act 1 scene 1: sp: l 65	Liberty of Country	liberty—of country	liberty—of country	liberty, of country	
act 1 scene 1: sp: l 66	.			!	
act 1 scene 1: div: stage		Throwing the stone up the Stage , L.	Throwing the stone up the Stage , L.	Throwing the stone up the Stage	
act 1 scene 1: sp: l 72	—				
act 1 scene 1: sp: l 73	!	.	.	.	
act 1 scene 1: sp: l 77		,	,	,	
act 1 scene 1: sp: l 78	;	,—	,—	,	
act 1 scene 1: sp: l 80	Barons	barons	barons	barons	
act 1 scene 1: sp: l 82	,	;	;	;	
act 1 scene 1: sp: l 83	,	,—	,—	,	
act 1 scene 1: sp: l 85	,	,—	,—	,	
act 1 scene 1: sp: l 90		,	,	,	
act 1 scene 1: sp: l 90		,	,	,	
act 1 scene 1: sp: l 92		,	,	,	
act 1 scene 1: sp: l 94	!			!	
act 1 scene 1: sp: l 97	you	ye	ye	ye	
act 1 scene 1: sp: l 97	How	how	how	how	
act 1 scene 1: sp: l 98		,	,	,	
act 1 scene 1: sp: l 99		,	,	,	
act 1 scene 1: sp: l 101	;	,—	,—	,	
act 1 scene 1: sp: l 102	,	,—	,—	;	
act 1 scene 1: sp: l 102		,	,	,	
act 1 scene 1: sp: l 103		,	,	,	
act 1 scene 1: sp: l 103		,	,	,	
act 1 scene 1: sp: l 104		,	,	,	
act 1 scene 1: sp: l 105	Lady of Loretto—	lady of Loretto,—	lady of Loretto,—	Lady of Loretto,	
act 1 scene 1: sp: l 105		,	,	,	
act 1 scene 1: sp: l 106	or	—Or	—Or		
act 1 scene 1: sp: l 106		,	,	,	
act 1 scene 1: sp: l 107	.	—	—	—	
act 1 scene 1: sp: l 109	—	,—	,—	,	
act 1 scene 1: sp: l 113	—	.	.	.	
act 1 scene 1: l: stage		Distant shouts , R .	Distant shouts , R .	Distant shouts .	
act 1 scene 1: sp: l 114	Sure	—Sure	—Sure	Sure	
act 1 scene 1: sp: l 115		,	,	,	
act 1 scene 1: sp: l 116		,	,	,	
act 1 scene 1: sp: l 117		,	,	,	
act 1 scene 1: sp: l 117		,	,	,	
act 1 scene 1: sp: l 118		,	,	,	
act 1 scene 1: sp: l 121	,	;	;	;	
act 1 scene 1: sp: l 123		,	,	,	
act 1 scene 1: sp: l 123		,	,	,	
act 1 scene 1: sp: l 124	!	.	.	.	
act 1 scene 1: l: stage		Nearer shouts , R 	Nearer shouts , R 	Nearer shouts 	
act 1 scene 1: l: stage	Shouts without.				
act 1 scene 1: sp: l 124		Here comes	Here comes	Here comes	
act 1 scene 1: sp: l 125	Here comes				
act 1 scene 1: sp: l 126		,	,	,	
act 1 scene 1: div: stage	Rienzi goes into the Porch	Goes into the Temple , C .	Goes into the Temple , C .	Goes into the Temple .	
act 1 scene 1: sp: l 129	!	.	.	.	
act 1 scene 1: sp: l 130		,	,	,	
act 1 scene 1: sp: l 131	!	.	.	.	
act 1 scene 1: div: stage	but without entering it				
act 1 scene 1: div: stage	Ursini, Frangipani, and other Lords pass over the stage in conversation, followed by armed Attendants, and accompanied by a Crowd who shout Live the Ursini !	Enter , R., Officer and six Halberdiers, who cross to L. , and Ursini, Frangipani, and two Lords , in conversation, followed by armed Attendants, and accompanied by a Crowd , R. S. E. , who shout “ Live the Ursini ,” &c.	Enter , R., Officer and six Halberdiers, who cross to L. , and Ursini, Frangipani, and two Lords , in conversation, followed by armed Attendants, and accompanied by a Crowd , R. S. E. , who shout “ Live the Ursini ,” &c.	Enter Officer and six Halberdiers, who cross , and Ursini, Frangipani, and two Lords , in conversation, followed by armed Attendants, and accompanied by a Crowd , who shout “ Live the Ursini ,” &c.	
act 1 scene 1: sp: l 132		,	,	,	
act 1 scene 1: l: stage	Then to	To	To	To	
act 1 scene 1: l: stage	lords	Lords	Lords	Lords	
act 1 scene 1: sp: l 132		,	,	,	
act 1 scene 1: sp: l 133	.	;	;	;	
act 1 scene 1: sp: l 136	!	;	;	!	
act 1 scene 1: sp: l 137		,	,	,	
act 1 scene 1: sp: l 137	!	.	.	.	
act 1 scene 1: sp: l 137		,	,	,	
act 1 scene 1: sp: l 137	!	,	,	!	
act 1 scene 1: sp: l 139	!	.	.	.	
act 1 scene 1: sp: stage		Following.	Following.	Following.	
act 1 scene 1: div: stage	Ursini Frangipani, Lords, crowd and attendants go off. Paolo and the Citizen are coming forward and are stopped by one Attendant armed who goes up to Paolo	Exeunt Ursini, &c., L. --Paolo and the Three Citizens come forward, and are stopped by an armed Attendant --the Three Citizens, with their caps off, R. --Paolo, C., and the Attendant, L.	Exeunt Ursini, &c., L. --Paolo and the Three Citizens come forward, and are stopped by an armed Attendant --the Three Citizens, with their caps off, R. --Paolo, C., and the Attendant, L.	Exeunt Ursini, &c.—Paolo and the Three Citizens come forward, and are stopped by an armed Attendant --the Three Citizens, with their caps off—Paoloand the Attendant.	
act 1 scene 1: sp: l 141		,	,	,	
act 1 scene 1: sp: l 142		,	,	,	
act 1 scene 1: sp: l 142		,	,	,	
act 1 scene 1: sp: l 143	!	.	.	.	
act 1 scene 1: div: stage	The attendant knocks off Paolo’s cap with his spear, and Rienzi rushes from the Temple and strikes him down. The 3rd Citizen flies	Knocks off Paolo’s cap with his spear—Rienzi rushes out from the Temple, wrests the spear from the Attendant, and strikes him down with it. Exit the Third Citizen , R	Knocks off Paolo’s cap with his spear—Rienzi rushes out from the Temple, wrests the spear from the Attendant, and strikes him down with it. Exit the Third Citizen , R	Knocks off Paolo’s cap with his spear—Rienzi rushes out from the Temple, wrests the spear from the Attendant, and strikes him down with it. Exit the Third Citizen	
act 1 scene 1: sp: l 147		—	—	—	
act 1 scene 1: sp: l 150	Yet	—yet	—yet	—yet	
act 1 scene 1: sp: l 154	! Quick! They’ll	,—they will	,—they will	,—they will	
act 1 scene 1: sp: l 156		,	,	,	
act 1 scene 1: sp: l 160		,	,	,	
act 1 scene 1: sp: l 162	, unjust	—fell	—fell	, unjust	
act 1 scene 1: sp: l 163	Abused power, and like a bulrush fell			Abused power, and like a bulrush fell	
act 1 scene 1: sp: l 173	,	—	—	,	
act 1 scene 1: sp: stage		Crossing to L.	Crossing to L.		
act 1 scene 1: sp: stage		Crossing to R.	Crossing to R.		
act 1 scene 1: sp: l 177		,—	,—	,—	
act 1 scene 1: div: stage		Rienzi, Paolo, and Citizens, L., bearing off the Attendant	Rienzi, Paolo, and Citizens, L., bearing off the Attendant	Rienzi, Paolo, and Citizens, bearing off the Attendant	
act 1 scene 2: div: stage	. A	; a Roman chair, L., and one R., with a skein of red worsted; a	; a Roman chair, L., and one R., with a skein of red worsted; a	; a Roman chair, and one with a skein of red worsted; a	
act 1 scene 2: div: stage		, C. F.	, C. F.		
act 1 scene 2: div: stage	a	the	the	the	
act 1 scene 2: div: stage	Angelo and Claudia, advancing from the lattice.	Enter Angelo and Claudia, through the Lattice.	Enter Angelo and Claudia, through the Lattice.	Enter Angelo and Claudia, through the Lattice.	
act 1 scene 2: sp: l 179	now away	, now, away,	, now, away,	, now, away,	
act 1 scene 2: sp: l 179	!	,—	,—	,	
act 1 scene 2: sp: l 185	. See!	—see.	—see.	, see!	
act 1 scene 2: sp: l 186		,	,	,	
act 1 scene 2: sp: l 187	I love!	—I love.	—I love.	—I love.	
act 1 scene 2: sp: l 188	!	.	.	.	
act 1 scene 2: sp: stage		R. C.	R. C.		
act 1 scene 2: sp: l 193		,	,	,	
act 1 scene 2: sp: l 194	Physician	physician	physician	physician	
act 1 scene 2: sp: l 196	! Think	; think,	; think,	; think,	
act 1 scene 2: sp: stage		L. C.	L. C.		
act 1 scene 2: sp: l 197		,	,	,	
act 1 scene 2: sp: l 197		,	,	,	
act 1 scene 2: sp: l 197	Why	why	why	why	
act 1 scene 2: sp: l 198	Why	why	why	why	
act 1 scene 2: sp: l 200	Scorn, and fiery Pride, and cold Contempt	scorn, and fiery pride, and cold contempt,	scorn, and fiery pride, and cold contempt,	scorn, and fiery pride, and cold contempt,	
act 1 scene 2: sp: l 201	. yet Love, and Time	; yet love, and time	; yet love, and time	; yet Love, and Time	
act 1 scene 2: sp: l 202		,	,	,	
act 1 scene 2: sp: l 202	! Time and Love	—time, and love	—time, and love	—Time, and Love	
act 1 scene 2: sp: l 203	! Alas	, alas	, alas	, alas	
act 1 scene 2: sp: l 204	sweetest	, sweetest,	, sweetest,	, sweetest,	
act 1 scene 2: sp: l 206	Idol	idol	idol	idol	
act 1 scene 2: sp: l 207	learnt	learned	learned	learned	
act 1 scene 2: sp: l 207	. He	; he	; he	; he	
act 1 scene 2: sp: l 209	,	—	—	—	
act 1 scene 2: sp: l 210	learnt	learned	learned	learned	
act 1 scene 2: sp: l 211		,	,	,	
act 1 scene 2: sp: l 212	!	.	.	.	
act 1 scene 2: sp: l 212		,	,	,	
act 1 scene 2: sp: l 213		,	,	,	
act 1 scene 2: sp: l 213		,	,	,	
act 1 scene 2: sp: l 213		,	,	,	
act 1 scene 2: sp: l 214	twas	! ’twas	! ’twas	! ’twas	
act 1 scene 2: sp: l 214		,	,	,	
act 1 scene 2: sp: l 215		,	,	,	
act 1 scene 2: sp: l 218		,	,	,	
act 1 scene 2: sp: l 218	;	—	—	,	
act 1 scene 2: sp: l 219	;	—	—	,	
act 1 scene 2: sp: l 223		,	,	,	
act 1 scene 2: sp: l 228	—	.	.	.	
act 1 scene 2: sp: l 228	?—				
act 1 scene 2: sp: l 229	,	—	—	,	
act 1 scene 2: sp: l 230		,	,	,	
act 1 scene 2: sp: l 231	breast,	heart,—	heart,—	heart,—	
act 1 scene 2: sp: l 231	forever	for ever	for ever	for ever	
act 1 scene 2: sp: l 232	thee! Love and Time	thee, love, and time,	thee, love, and time,	thee. Love and Time,	
act 1 scene 2: sp: l 233	Constancy	constancy	constancy	Constancy	
act 1 scene 2: sp: stage		Without, L.	Without, L.	Without.	
act 1 scene 2: sp: l 236	! Begone	, begone	, begone	, begone	
act 1 scene 2: sp: stage		Without, L.	Without, L.	Without.	
act 1 scene 2: sp: l 238	! Away! Away	—away, away	—away, away	—away, away	
act 1 scene 2: sp: stage		Hurrying Angelo across to R.	Hurrying Angelo across to R.	Hurrying Angelo off the stage	
act 1 scene 2: sp: l 239	Hence	Here,	Here,	Here,	
act 1 scene 2: sp: l 239	! By	—by	—by	—by	
act 1 scene 2: sp: stage		, R	, R		
act 1 scene 2: sp: l 240		,	,	,	
act 1 scene 2: sp: l 241	!	.	.	.	
act 1 scene 2: l: stage		Looking after him.	Looking after him.	Looking after him.	
act 1 scene 2: sp: l 242	an	an’	an’	as	
act 1 scene 2: sp: l 242	. He’s	—he’s	—he’s	—he’s	
act 1 scene 2: sp: l 243	. Thank Heaven! Thank	: thank Heaven, thank	: thank Heaven, thank	: thank Heaven! thank	
act 1 scene 2: sp: l 245	! Now	: now	: now	: now	
act 1 scene 2: sp: l 245	;	,	,	,	
act 1 scene 2: l: stage		Sinks down into the chair, R.	Sinks down into the chair, R.	Sinks down into the chair.	
act 1 scene 2: sp: l 246		,	,	,	
act 1 scene 2: sp: l 246		,	,	,	
act 1 scene 2: sp: l 246	!	,	,	,	
act 1 scene 2: div: stage		, L.	, L.	.	
act 1 scene 2: sp: l 248		,	,	,	
act 1 scene 2: sp: l 250		,	,	,	
act 1 scene 2: sp: l 251	None.	None. Claudia!	None. Claudia!	None—Claudia!	
act 1 scene 2: sp: stage		, L.	, L.	.	
act 1 scene 2: sp: l 252	Claudia!				
act 1 scene 2: sp: l 253		,	,	,	
act 1 scene 2: sp: l 255		,	,	,	
act 1 scene 2: sp: l 255	!	.	.	.	
act 1 scene 2: sp: l 256		,	,	,	
act 1 scene 2: sp: l 257	;	—	—	,	
act 1 scene 2: sp: l 257		,	,	,	
act 1 scene 2: sp: l 258	,	—	—	,	
act 1 scene 2: sp: l 258		—	—	,	
act 1 scene 2: sp: l 259		,	,	,	
act 1 scene 2: sp: l 260		,	,	,	
act 1 scene 2: sp: l 261	—	.	.	.	
act 1 scene 2: l: stage		Claudia rises hastily to take his cloak.	Claudia rises hastily to take his cloak.	Claudia rises hastily to take his cloak.	
act 1 scene 2: sp: l 262		,	,	,	
act 1 scene 2: sp: l 262		,	,	,	
act 1 scene 2: l: stage		Claudia sits R., and takes up the skein of ravelled worsted.	Claudia sits R., and takes up the skein of ravelled worsted.	Claudia sits and takes up the skein of ravelled worsted.	
act 1 scene 2: sp: l 264	No!	no—	no—	no—	
act 1 scene 2: sp: l 265	West	west	west	west	
act 1 scene 2: sp: l 265	!	:	:	:	
act 1 scene 2: sp: l 267		,	,	,	
act 1 scene 2: sp: l 268		,	,	,	
act 1 scene 2: sp: l 269		,	,	,	
act 1 scene 2: sp: l 272		,	,	,	
act 1 scene 2: sp: l 274	—	.	.	.	
act 1 scene 2: sp: l 276	;	:—	:—	:—	
act 1 scene 2: sp: l 278	!	.	.	.	
act 1 scene 2: sp: l 280		,	,	,	
act 1 scene 2: sp: stage		Rises.	Rises.	Rises.	
act 1 scene 2: sp: stage		Weeps.	Weeps.	Weeps.	
act 1 scene 2: sp: l 285	.	:	:	:	
act 1 scene 2: sp: l 285		,	,	,	
act 1 scene 2: sp: l 285	!	,	,	,	
act 1 scene 2: sp: l 286		—	—	—	
act 1 scene 2: sp: l 287	;	,	,	,	
act 1 scene 2: sp: l 288	. Cheer thee	; cheer thee,	; cheer thee,	; cheer thee,	
act 1 scene 2: sp: stage		Kisses her forehead.	Kisses her forehead.	Kisses her forehead.	
act 1 scene 2: sp: l 290		,	,	,	
act 1 scene 2: sp: l 291	! And	, and	, and	, and	
act 1 scene 2: sp: l 292		,	,	,	
act 1 scene 2: sp: stage		They sit, C., Rienzi, L., Claudia, R.	They sit, C., Rienzi, L., Claudia, R.		
act 1 scene 2: sp: l 293	. Weep	: weep	: weep	: weep	
act 1 scene 2: sp: l 293		,	,	,	
act 1 scene 2: sp: l 299	?	!	!	!	
act 1 scene 2: sp: l 300	.	:	:	: —	
act 1 scene 2: sp: l 302		,	,	,	
act 1 scene 2: sp: l 303	,	;	;	;	
act 1 scene 2: sp: l 303		,	,	,	
act 1 scene 2: sp: l 304				,	
act 1 scene 2: sp: l 307	Duty	duty,	duty,	duty,	
act 1 scene 2: sp: l 310		,	,	,	
act 1 scene 2: sp: l 311	,				
act 1 scene 2: sp: l 311	;	,	,	,	
act 1 scene 2: sp: l 313	Dear-One! There’s no danger;	dear one; there’s no danger:	dear one; there’s no danger:	dear one; there’s no danger:	
act 1 scene 2: sp: l 314	. All silly trembler—	; all, silly trembler.	; all, silly trembler.	; all, silly trembler.	
act 1 scene 2: sp: l 315	! Peace! I will not hear thee!—All	, peace! I will not hear thee: all	, peace! I will not hear thee: all	, peace! I will not hear thee: all	
act 1 scene 2: sp: stage		, L	, L		
act 1 scene 2: sp: l 316	!	.	.	.	
act 1 scene 2: l: stage		Rienzi and Claudia rise.	Rienzi and Claudia rise.	Rienzi and Claudia rise.	
act 1 scene 2: sp: l 318	guard	watch	watch	watch	
act 1 scene 2: sp: l 319	!	.	.	.	
act 1 scene 2: sp: l 320	—	,	,	,	
act 1 scene 2: sp: l 321		;	;	;	
act 1 scene 2: sp: l 322	!	;	;	;	
act 1 scene 2: sp: l 323	;	:	:	:	
act 1 scene 2: sp: l 325		,	,	,	
act 1 scene 2: sp: l 325		,	,	,	
act 1 scene 2: sp: l 325	!	:	:	:	
act 1 scene 2: sp: l 326	! Meet them! Baffle them!	, meet them, baffle them.	, meet them, baffle them.	, meet them, baffle them.	
act 1 scene 2: sp: l 331	!	.	.	.	
act 1 scene 2: sp: l 332		,	,	,	
act 1 scene 2: sp: l 332		,	,	,	
act 1 scene 2: sp: l 332	!	,	,	,	
act 1 scene 2: sp: l 334		,	,	,	
act 1 scene 2: sp: l 334	My	my	my	my	
act 1 scene 2: l: stage		Puts her gently off , R .	Puts her gently off , R .	Puts her gently off .	
act 1 scene 2: div: stage		, L	, L		
act 1 scene 2: div: stage	End of the First Act	END OF ACT I	END OF ACT I	END OF ACT I	
  act 2: div: head	Act the Second	ACT II.	ACT II.	ACT II.	
act 2 scene 1: div: stage		and	and	and	
act 2 scene 1: div: stage		, R	, R		
act 2 scene 1: sp: stage		L.	L.		
act 2 scene 1: sp: l 336		,	,	,	
act 2 scene 1: sp: l 337	! And	, and	, and	, and	
act 2 scene 1: sp: l 338	!	.	.	.	
act 2 scene 1: sp: l 340		,	,	,	
act 2 scene 1: sp: l 341		,	,	,	
act 2 scene 1: sp: l 342	musick	music	music	music	
act 2 scene 1: sp: l 347	rivals’	rival’s	rival’s	rival’s	
act 2 scene 1: sp: l 348	horse-boys	horseboys	horseboys	horseboys	
act 2 scene 1: sp: l 349		,	,	,	
act 2 scene 1: sp: stage		Crossing to C.	Crossing to C.		
act 2 scene 1: sp: l 359		,	,		
act 2 scene 1: sp: l 359		,	,		
act 2 scene 1: sp: l 362	—Count Savelli!				
act 2 scene 1: sp: stage		, L	, L		
act 2 scene 1: sp: l 363		Count Savelli!	Count Savelli!	Count Savelli!	
act 2 scene 1: sp: l 364		,	,	,	
act 2 scene 1: sp: l 364				,	
act 2 scene 1: sp: l 367		,	,	,	
act 2 scene 1: sp: l 367		,	,	,	
act 2 scene 1: sp: l 367		,	,	,	
act 2 scene 1: sp: l 367	!	,	,	,	
act 2 scene 1: sp: l 369	!			!	
act 2 scene 1: sp: l 370	prithee	pr’ythee	pr’ythee	pr’ythee	
act 2 scene 1: sp: stage		R.	R.		
act 2 scene 1: sp: l 373	?	;	;	;	
act 2 scene 1: sp: l 374	?	.	.	.	
act 2 scene 1: sp: l 376		,	,	,	
act 2 scene 1: sp: l 376		,	,	,	
act 2 scene 1: sp: l 376		,	,	,	
act 2 scene 1: sp: l 376		,—	,—	,—	
act 2 scene 1: sp: l 381	!	!	!	,	
act 2 scene 1: sp: l 382	. Ye’ll	: ye’ll	: ye’ll	: ye’ll	
act 2 scene 1: div: stage	Showing	Crossing to C. and showing	Crossing to C. and showing	Showing	
act 2 scene 1: sp: l 385	!	.	.	.	
act 2 scene 1: sp: stage		L.	L.		
act 2 scene 1: sp: l 388	;	,	,	,	
act 2 scene 1: sp: l 394	:	—	—	—	
act 2 scene 1: sp: stage		L. C.	L. C.		
act 2 scene 1: sp: l 397		,	,	,	
act 2 scene 1: sp: l 398		,	,	,	
act 2 scene 1: sp: l 404		—	—		
act 2 scene 1: sp: l 404	!	:—	:—	:	
act 2 scene 1: sp: l 405		,	,	,	
act 2 scene 1: sp: l 405	,	;	;	;	
act 2 scene 1: sp: l 406	,	;	;	;	
act 2 scene 1: sp: l 407	;—	;—	;—	;	
act 2 scene 1: div: stage		Crosses to R.	Crosses to R.		
act 2 scene 1: sp: l 412		,	,	,	
act 2 scene 1: sp: l 412		—	—		
act 2 scene 1: div: stage		, L., unseen	, L., unseen	unseen	
act 2 scene 1: sp: l 416	;	,	,	;	
act 2 scene 1: sp: l 420	,	—	—	,	
act 2 scene 1: sp: l 420		-	-	-	
act 2 scene 1: sp: l 424		,	,	,	
act 2 scene 1: sp: l 424		,	,	,	
act 2 scene 1: sp: l 424		,	,	,	
act 2 scene 1: sp: l 425	—	,	,	—	
act 2 scene 1: sp: stage		, C		, C	
act 2 scene 1: sp: l 426	. Say	,—say	,—say	,—say	
act 2 scene 1: sp: l 431	Aye; Aye;	Ay, ay—	Ay, ay—	Ay, ay,	
act 2 scene 1: sp: l 432	,	—	—	,	
act 2 scene 1: sp: l 433	!	,	,	,	
act 2 scene 1: sp: l 438		,	,	,	
act 2 scene 1: sp: l 438	!	;	;	;	
act 2 scene 1: sp: l 439	! Ye	; ye	; ye	; ye	
